Effect|Crash|23|..\Texture\Stage\Effect\Crash\Crash%d.png
Back|Attack|16|..\Texture\Stage\Player\Back\Attack\BACK_COMPLETE_0%d.png
Back|Dash|8|..\Texture\Stage\Player\Back\Dash\BACK_COMPLETE_0%d.png
Back|Hit|2|..\Texture\Stage\Player\Back\Hit\BACK_COMPLETE_0%d.png
Back|Idle|1|..\Texture\Stage\Player\Back\Idle\BACK_COMPLETE_0%d.png
Back|Walk|10|..\Texture\Stage\Player\Back\Walk\BACK_COMPLETE_0%d.png
Front|Dash|8|..\Texture\Stage\Player\Front\Dash\FRONT_COMPLETE_0%d.png
Front|Die|7|..\Texture\Stage\Player\Front\Die\FRONT_COMPLETE_0%d.png
Front|Hit|2|..\Texture\Stage\Player\Front\Hit\FRONT_COMPLETE_0%d.png
Front|Idle|1|..\Texture\Stage\Player\Front\Idle\FRONT_COMPLETE_0%d.png
Front|LeftAttack|8|..\Texture\Stage\Player\Front\LeftAttack\FRONT_COMPLETE_0%d.png
Front|RightAttack|8|..\Texture\Stage\Player\Front\RightAttack\FRONT_COMPLETE_0%d.png
Front|Walk|10|..\Texture\Stage\Player\Front\Walk\FRONT_COMPLETE_0%d.png
Left|Attack|16|..\Texture\Stage\Player\Left\Attack\LEFT_COMPLETE_0%d.png
Left|Dash|8|..\Texture\Stage\Player\Left\Dash\LEFT_COMPLETE_0%d.png
Left|Hit|2|..\Texture\Stage\Player\Left\Hit\LEFT_COMPLETE_0%d.png
Left|Idle|1|..\Texture\Stage\Player\Left\Idle\LEFT_COMPLETE_0%d.png
Left|Walk|10|..\Texture\Stage\Player\Left\Walk\LEFT_COMPLETE_0%d.png
Right|Attack|16|..\Texture\Stage\Player\Right\Attack\RIGHT_COMPLETE_0%d.png
Right|Dash|8|..\Texture\Stage\Player\Right\Dash\RIGHT_COMPLETE_0%d.png
Right|Hit|2|..\Texture\Stage\Player\Right\Hit\RIGHT_COMPLETE_0%d.png
Right|Idle|1|..\Texture\Stage\Player\Right\Idle\RIGHT_COMPLETE_0%d.png
Right|Walk|10|..\Texture\Stage\Player\Right\Walk\RIGHT_COMPLETE_0%d.png
Terrain|Tile|216|..\Texture\Stage\Terrain\Tile\Tile%d.png
Ui|Mouse|1|..\Texture\Stage\Ui\Mouse\UI_MOUSE.png
